GroupName,GroupId,Description,VpcId,Direction,IpProtocol,FromPort,ToPort,CidrIp
launch-wizard-2,sg-01ef0c67478b77eca,launch-wizard-2 created 2021-06-28T10:03:53.793+01:00,vpc-db5ea3a2,Outbound,-1,,,0.0.0.0/0
default,sg-022455b658e510e5e,default VPC security group,vpc-05ca7204d0891923a,Outbound,-1,,,0.0.0.0/0
launch-wizard-8,sg-06a1fbe3d0d38b203,launch-wizard-8 created 2024-06-07T11:56:21.113Z,vpc-db5ea3a2,Inbound,tcp,1433.0,1433.0,0.0.0.0/0
launch-wizard-8,sg-06a1fbe3d0d38b203,launch-wizard-8 created 2024-06-07T11:56:21.113Z,vpc-db5ea3a2,Inbound,tcp,22.0,22.0,0.0.0.0/0
launch-wizard-8,sg-06a1fbe3d0d38b203,launch-wizard-8 created 2024-06-07T11:56:21.113Z,vpc-db5ea3a2,Outbound,-1,,,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,tcp,80.0,80.0,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,tcp,8080.0,8080.0,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,-1,,,172.31.0.0/16
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,-1,,,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,tcp,22.0,22.0,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,tcp,5000.0,5000.0,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,tcp,31376.0,31376.0,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Inbound,tcp,9990.0,9990.0,0.0.0.0/0
DockerTraining,sg-0aa0836135118372b,Ports required for Docker Training Servers,vpc-db5ea3a2,Outbound,-1,,,0.0.0.0/0
default,sg-0c74f6e9b9a829fda,default VPC security group,vpc-0a8e50d36f62e17b3,Outbound,-1,,,0.0.0.0/0
all-traffic-within-vpc,sg-03b24c02932536863,launch-wizard-7 created 2021-09-22T10:22:10.719+01:00,vpc-0d082942d4c109bfb,Inbound,tcp,0.0,65535.0,0.0.0.0/0
all-traffic-within-vpc,sg-03b24c02932536863,launch-wizard-7 created 2021-09-22T10:22:10.719+01:00,vpc-0d082942d4c109bfb,Inbound,tcp,22.0,22.0,0.0.0.0/0
all-traffic-within-vpc,sg-03b24c02932536863,launch-wizard-7 created 2021-09-22T10:22:10.719+01:00,vpc-0d082942d4c109bfb,Outbound,-1,,,0.0.0.0/0
271c7d1e-cf43-417b-bfc1-383d5224e863,sg-010c46fe3f0be9ca5,This is a test security group,vpc-db5ea3a2,Inbound,tcp,80.0,80.0,0.0.0.0/0
271c7d1e-cf43-417b-bfc1-383d5224e863,sg-010c46fe3f0be9ca5,This is a test security group,vpc-db5ea3a2,Inbound,tcp,22.0,22.0,0.0.0.0/0
271c7d1e-cf43-417b-bfc1-383d5224e863,sg-010c46fe3f0be9ca5,This is a test security group,vpc-db5ea3a2,Outbound,-1,,,0.0.0.0/0
obs-ecs-cluster-sg,sg-013fdc2fdef765475,alb to ecs cluster sg,vpc-0d082942d4c109bfb,Inbound,tcp,0.0,65535.0,10.0.0.0/16
obs-ecs-cluster-sg,sg-013fdc2fdef765475,alb to ecs cluster sg,vpc-0d082942d4c109bfb,Outbound,-1,,,0.0.0.0/0
garytest,sg-0f01655d7c3a13e43,garytest,vpc-05ca7204d0891923a,Inbound,-1,,,0.0.0.0/0
garytest,sg-0f01655d7c3a13e43,garytest,vpc-05ca7204d0891923a,Outbound,-1,,,0.0.0.0/0
launch-wizard-6,sg-0128b655df0df58ff,launch-wizard-6 created 2021-07-04T15:41:40.812+01:00,vpc-db5ea3a2,Inbound,tcp,22.0,22.0,0.0.0.0/0
launch-wizard-6,sg-0128b655df0df58ff,launch-wizard-6 created 2021-07-04T15:41:40.812+01:00,vpc-db5ea3a2,Outbound,-1,,,0.0.0.0/0
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Inbound,tcp,10259.0,10259.0,172.31.0.0/16
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Inbound,tcp,6443.0,6443.0,172.31.0.0/16
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Inbound,tcp,2379.0,2380.0,172.31.0.0/16
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Inbound,tcp,22.0,22.0,0.0.0.0/0
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Inbound,tcp,10257.0,10257.0,172.31.0.0/16
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Inbound,tcp,10250.0,10252.0,172.31.0.0/16
k8s-control-plane-SG,sg-0cf908758f5a1d3ae,k8s-control-plane-SG,vpc-db5ea3a2,Outbound,-1,,,0.0.0.0/0
